,population density P,proportion A
48097,17.89578163,0.183969282
48177,7.08463346,0.172601485
48429,3.810151594,0.201912508
48093,5.532798309,0.235138317
48439,901.2225812,0.116019299
48035,7.016433588,0.250219394
48225,6.886131829,0.218194998
48241,13.11954565,0.200800534
48315,8.928653973,0.265343888
48395,7.464223592,0.202411508
48191,1.202113585,0.247602131
48217,14.04061571,0.204293281
48325,14.66319447,0.170515903
48467,26.72882881,0.202677057
48179,8.819941853,0.162372227
48231,43.73607178,0.156953768
48371,1.230451857,0.130938281
48113,1109.004662,0.110398659
48127,2.488244878,0.168117961
48159,13.55661039,0.217189763
48323,17.27650032,0.119169373
48361,86.19011051,0.157339936
48383,1.110275526,0.111669129
48419,11.10131885,0.176617537
48037,38.84153883,0.168258001
48053,18.54548604,0.22922222
48307,2.741654091,0.232996986
48335,3.785378327,0.140711902
48379,18.11436464,0.244918114
48401,21.46469488,0.169395767
48161,8.408947233,0.201502135
48187,93.18843606,0.142359201
48287,10.6331543,0.19058514
48369,4.305470706,0.148125633
48453,485.4801897,0.102479581
48495,3.575234198,0.116929791
48071,28.40139433,0.117542202
48103,2.293979142,0.122540633
48167,328.6666015,0.147640041
48251,94.59424417,0.140493756
48027,131.1446875,0.112648621
48085,464.5683202,0.110259389
48247,1.639975127,0.179937952
48351,5.015053891,0.227469919
48373,17.42472312,0.191680798
48409,37.5579057,0.152412951
48445,5.125046642,0.152987913
48029,616.8521481,0.123873995
48227,14.87905909,0.125164917
48293,9.156798481,0.206149262
48455,7.347607951,0.269813263
48489,12.33719334,0.148928784
48047,2.891938796,0.170504309
48245,100.3661443,0.147056186
48273,13.1778276,0.134559629
48025,13.59760751,0.124702093
48041,152.5720055,0.092692689
48237,3.553071281,0.167827216
48019,10.07956631,0.281767161
48021,41.86696553,0.150702545
48185,14.09679085,0.180176798
48415,7.200261551,0.149353334
48451,30.04764032,0.161648904
48285,8.083685528,0.234096942
48299,8.484617844,0.367234563
48213,33.41743822,0.220787126
48233,8.891509754,0.172852084
48355,156.2989146,0.151565088
48003,4.782601711,0.095281599
48077,3.533075108,0.234931507
48111,1.827117438,0.111750667
48163,6.250324775,0.118786033
48259,25.75938662,0.197664438
48283,1.721555731,0.155865587
48277,20.71523181,0.189732633
48425,18.5283941,0.193155894
48065,2.423526279,0.202103811
48115,5.329107529,0.144152821
48457,8.161115294,0.225931912
48015,17.72263408,0.201060832
48039,98.43036346,0.122071848
48215,211.8781175,0.113246982
48411,1.93944754,0.224842767
48507,2.863935086,0.147290029
48145,8.45880053,0.184582744
48209,136.959791,0.115615809
48289,5.610454287,0.242730801
48291,30.03626852,0.12220755
48339,222.2080184,0.131973052
48485,78.92294302,0.148058534
48239,6.745712034,0.193062041
48375,49.63011041,0.135780699
48165,5.546231612,0.088577117
48381,58.8944161,0.153593123
48441,60.11379292,0.14575812
48461,1.027805238,0.148517846
48473,42.26366918,0.113020035
48487,5.086805248,0.184435133
